run_id,match_id,table_size,hand_id,decision_id,player,profile,stage,pot_size,to_call,player_chips,chosen_action,bet_amount,response_time_ms,history_window_size,used_opponent_stats,used_fallback,reason
20260409T024859Z,match_001_baseline_vs_weak_ai,2,1,1,baseline,baseline,PreFlop,40,10,980,Call,0,0.039,0,False,False,"Baseline heuristic using preflop strength=0.80, pressure=0.01, opponents=1."
20260409T024859Z,match_001_baseline_vs_weak_ai,2,1,2,weak_ai,weak_ai,PreFlop,70,0,950,Raise,30,3241.292,3,False,False,I am a conservative bot with short memory. The pot is relatively small and I have King-8. Raising to 30 is within my raise range and doesn't risk too much.
20260409T024859Z,match_001_baseline_vs_weak_ai,2,1,3,baseline,baseline,PreFlop,100,30,950,Call,0,0.041,0,False,False,"Baseline heuristic using preflop strength=0.80, pressure=0.03, opponents=1."
20260409T024859Z,match_001_baseline_vs_weak_ai,2,1,4,weak_ai,weak_ai,Flop,140,0,910,Raise,40,2279.765,3,False,False,I have King and an 8 on the board which is a decent hand. I will raise to 40 to see where I am at.
20260409T024859Z,match_001_baseline_vs_weak_ai,2,1,5,baseline,baseline,Flop,180,40,910,Call,0,0.058,0,False,False,"Baseline heuristic using High Card strength=0.87, pressure=0.04, opponents=1."
20260409T024859Z,match_001_baseline_vs_weak_ai,2,1,6,weak_ai,weak_ai,Turn,245,0,845,Raise,65,2376.467,3,False,False,The board is fairly coordinated and I have a King and an Eight. I want to build the pot slightly given my previous raises and maintain some pressure.
20260409T024859Z,match_001_baseline_vs_weak_ai,2,1,7,baseline,baseline,Turn,310,65,845,Call,0,0.138,0,False,False,"Baseline heuristic using High Card strength=0.87, pressure=0.07, opponents=1."
20260409T024859Z,match_001_baseline_vs_weak_ai,2,1,8,weak_ai,weak_ai,River,542,0,613,Raise,232,2843.002,3,False,False,Baseline has called all previous raises and is showing no signs of folding. I am playing a conservative strategy based on short memory and current street. Increasing the bet further seems reasonable given the board texture.
20260409T024859Z,match_001_baseline_vs_weak_ai,2,1,9,baseline,baseline,River,542,232,845,Fold,0,0.175,0,False,False,"Baseline heuristic using High Card strength=0.87, pressure=0.22, opponents=1."
20260409T024859Z,match_001_baseline_vs_weak_ai,2,2,1,weak_ai,weak_ai,PreFlop,70,10,950,Raise,30,2743.325,3,False,False,"I have 2 of Hearts, King of Clubs and the pot is only 30. I am a weak AI with short memory so I will raise to 30."
20260409T024859Z,match_001_baseline_vs_weak_ai,2,2,2,baseline,baseline,PreFlop,160,30,890,Raise,60,0.049,0,False,False,"Baseline heuristic using preflop strength=1.00, pressure=0.03, opponents=1."
20260409T024859Z,match_001_baseline_vs_weak_ai,2,2,3,weak_ai,weak_ai,PreFlop,260,60,850,Raise,40,2341.255,3,False,False,I need to call baseline's raise of 60 with my King and 2. I will raise 40 to put more pressure on baseline.
20260409T024859Z,match_001_baseline_vs_weak_ai,2,2,4,baseline,baseline,PreFlop,360,40,790,Raise,60,0.046,0,False,False,"Baseline heuristic using preflop strength=1.00, pressure=0.04, opponents=1."
20260409T024859Z,match_001_baseline_vs_weak_ai,2,2,5,weak_ai,weak_ai,PreFlop,460,60,750,Raise,40,2462.682,3,False,False,I am weak_ai and have a short memory. The pot is already building and I've raised twice before. Increasing my bet slightly aligns with my conservative style.
20260409T024859Z,match_001_baseline_vs_weak_ai,2,2,6,baseline,baseline,PreFlop,560,40,690,Raise,60,0.055,0,False,False,"Baseline heuristic using preflop strength=1.00, pressure=0.05, opponents=1."
20260409T024859Z,match_001_baseline_vs_weak_ai,2,2,7,weak_ai,weak_ai,PreFlop,660,60,650,Raise,40,3039.103,3,False,False,"I am currently in a raise pot and need to increase my bet to maintain pressure on the opponent. My short memory profile suggests I should not make large bets, so raising 40 is within my range."
20260409T024859Z,match_001_baseline_vs_weak_ai,2,2,8,baseline,baseline,PreFlop,760,40,590,Raise,60,0.042,0,False,False,"Baseline heuristic using preflop strength=1.00, pressure=0.05, opponents=1."
20260409T024859Z,match_001_baseline_vs_weak_ai,2,2,9,weak_ai,weak_ai,PreFlop,860,60,550,Raise,40,2999.18,3,False,False,I am a short memory bot and I want to continue raising to put pressure on the opponent. The current pot size is 760 and my opponent has raised multiple times already.
20260409T024859Z,match_001_baseline_vs_weak_ai,2,2,10,baseline,baseline,PreFlop,960,40,490,Raise,60,0.053,0,False,False,"Baseline heuristic using preflop strength=1.00, pressure=0.06, opponents=1."
20260409T024859Z,match_001_baseline_vs_weak_ai,2,2,11,weak_ai,weak_ai,PreFlop,1060,60,450,Raise,40,2648.198,3,False,False,"I am following my short memory strategy and continuing to raise based on previous actions. The pot is already significant, and I want to maintain pressure."
